# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
0,0,0,0,0,0,0,90,9.067e4,4.4e4,72.01,0.582,NaN,232.932,0,0,0.616,10.925,940.419,0.005
0.01,0,0.015,8.813,0,0,0,89.477,9.064e4,4.397e4,72.003,0.582,NaN,232.934,1686.295,5.667e-8,0.616,10.925,940.419,0.005
0.02,8.978e-4,0.196,27.428,-1.805e-7,0,1.805e-7,83.088,9.062e4,4.395e4,71.995,0.582,NaN,232.937,3372.59,1.249e-4,0.615,10.924,940.419,0.005
0.03,0.005,0.563,46.053,-6.399e-7,0,6.399e-7,70.839,9.059e4,4.392e4,71.987,0.582,NaN,232.939,5058.885,0.003,0.61,10.924,940.419,0.005
0.04,0.013,1.117,64.689,-1.41e-6,0,1.41e-6,55.519,9.056e4,4.389e4,71.98,0.582,NaN,232.942,6745.179,0.015,0.597,10.924,940.418,0.006
0.048,0.024,1.713,80.034,-2.338e-6,0,2.338e-6,43.598,9.054e4,4.387e4,71.974,0.582,NaN,232.944,8133,0.042,0.581,10.924,940.417,0.007
0.058,0.045,2.513,80.078,-3.826e-6,0,3.826e-6,33.194,9.049e4,4.382e4,71.959,0.582,NaN,232.948,8132.468,0.097,0.562,10.924,940.414,0.009
0.068,0.075,3.314,80.122,-5.315e-6,0,5.315e-6,26.596,9.044e4,4.377e4,71.944,0.581,NaN,232.953,8131.935,0.167,0.546,10.924,940.411,0.011
0.078,0.112,4.116,80.166,-6.803e-6,0,6.803e-6,22.14,9.039e4,4.372e4,71.929,0.581,NaN,232.958,8131.403,0.249,0.533,10.924,940.407,0.013
0.088,0.157,4.917,80.21,-8.292e-6,0,8.292e-6,18.963,9.034e4,4.367e4,71.915,0.581,NaN,232.963,8130.87,0.342,0.523,10.923,940.402,0.015
