Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3288388455,0.3288388455,0.3288388455,0.3288388455,0.3288388455,0,0,0,0,9.308560532,48.84191001,48.84191001,410294.3
0.02,0,0.3464018352,0.3464018352,0.3464018352,0.3464018352,0.3464018352,0,0,0,0,9.308560532,48.84191001,48.84191001,820588.6
0.03,0,0.3602055487,0.3602055487,0.3602055487,0.3602055487,0.3602055487,0,0,0,0,9.308560532,48.84191001,48.84191001,1230883
0.04,0,0.3653227283,0.3653227283,0.3653227283,0.3653227283,0.3653227283,0,0,0,0,9.308560532,48.84191001,48.84191001,1641177
0.05,0,0.3672756473,0.3672756473,0.3672756473,0.3672756473,0.3672756473,0,0,0,0,9.308560532,48.84191001,48.84191001,2051472
0.06,0,0.367852687,0.367852687,0.367852687,0.367852687,0.367852687,0,0,0,0,9.308560532,48.84191001,48.84191001,2461766
0.07,0,0.3677655812,0.3677655812,0.3677655812,0.3677655812,0.3677655812,0,0,0,0,9.308560532,48.84191001,48.84191001,2872060
0.08,0,0.3673390324,0.3673390324,0.3673390324,0.3673390324,0.3673390324,0,0,0,0,9.308560532,48.84191001,48.84191001,3282354
0.09,0,0.3667356054,0.3667356054,0.3667356054,0.3667356054,0.3667356054,0,0,0,0,9.308560532,48.84191001,48.84191001,3692649
0.1,0,0.3665728003,0.3665728003,0.3665728003,0.3665728003,0.3665728003,0,0,0,0,9.308560532,48.84191001,48.84191001,4102943
0.11,0,0.3665600775,0.3665600775,0.3665600775,0.3665600775,0.3665600775,0,0,0,0,9.308560532,48.84191001,48.84191001,4513238
0.12,0,0.3665473295,0.3665473295,0.3665473295,0.3665473295,0.3665473295,0,0,0,0,9.308560532,48.84191001,48.84191001,4923532
0.13,0,0.3665345565,0.3665345565,0.3665345565,0.3665345565,0.3665345565,0,0,0,0,9.308560532,48.84191001,48.84191001,5333826
0.14,0,0.366521759,0.366521759,0.366521759,0.366521759,0.366521759,0,0,0,0,9.308560532,48.84191001,48.84191001,5744120
0.15,0,0.3665089372,0.3665089372,0.3665089372,0.3665089372,0.3665089372,0,0,0,0,9.308560532,48.84191001,48.84191001,6154414
0.16,0,0.3664960915,0.3664960915,0.3664960915,0.3664960915,0.3664960915,0,0,0,0,9.308560532,48.84191001,48.84191001,6564708
0.17,0,0.3664832222,0.3664832222,0.3664832222,0.3664832222,0.3664832222,0,0,0,0,9.308560532,48.84191001,48.84191001,6975003
0.18,0,0.3664703297,0.3664703297,0.3664703297,0.3664703297,0.3664703297,0,0,0,0,9.308560532,48.84191001,48.84191001,7385298
0.19,0,0.3664574142,0.3664574142,0.3664574142,0.3664574142,0.3664574142,0,0,0,0,9.308560532,48.84191001,48.84191001,7795592
0.2,0,0.3664444762,0.3664444762,0.3664444762,0.3664444762,0.3664444762,0,0,0,0,9.308560532,48.84191001,48.84191001,8205886
0.21,0,0.3664315159,0.3664315159,0.3664315159,0.3664315159,0.3664315159,0,0,0,0,9.308560532,48.84191001,48.84191001,8616180
0.22,0,0.3664185336,0.3664185336,0.3664185336,0.3664185336,0.3664185336,0,0,0,0,9.308560532,48.84191001,48.84191001,9026475
0.23,0,0.3664055297,0.3664055297,0.3664055297,0.3664055297,0.3664055297,0,0,0,0,9.308560532,48.84191001,48.84191001,9436769
0.24,0,0.3663925044,0.3663925044,0.3663925044,0.3663925044,0.3663925044,0,0,0,0,9.308560532,48.84191001,48.84191001,9847063
0.25,0,0.3663794582,0.3663794582,0.3663794582,0.3663794582,0.3663794582,0,0,0,0,9.308560532,48.84191001,48.84191001,10257360
0.26,0,0.3665444079,0.3665444079,0.3665444079,0.3665444079,0.3665444079,0,0,0,0,9.308560532,48.84191001,48.84191001,10667650
0.27,0,0.3667093372,0.3667093372,0.3667093372,0.3667093372,0.3667093372,0,0,0,0,9.308560532,48.84191001,48.84191001,11077950
0.28,0,0.3668742463,0.3668742463,0.3668742463,0.3668742463,0.3668742463,0,0,0,0,9.308560532,48.84191001,48.84191001,11488240
0.29,0,0.3670391163,0.3670391163,0.3670391163,0.3670391163,0.3670391163,0,0,0,0,9.308560532,48.84191001,48.84191001,11898530
0.3,0,0.3672039861,0.3672039861,0.3672039861,0.3672039861,0.3672039861,0,0,0,0,9.308560532,48.84191001,48.84191001,12308830
0.31,0,0.367368856,0.367368856,0.367368856,0.367368856,0.367368856,0,0,0,0,9.308560532,48.84191001,48.84191001,12719120
0.32,0,0.3675336682,0.3675336682,0.3675336682,0.3675336682,0.3675336682,0,0,0,0,9.308560532,48.84191001,48.84191001,13129420
0.33,0,0.367698481,0.367698481,0.367698481,0.367698481,0.367698481,0,0,0,0,9.308560532,48.84191001,48.84191001,13539710
0.34,0,0.3678632755,0.3678632755,0.3678632755,0.3678632755,0.3678632755,0,0,0,0,9.308560532,48.84191001,48.84191001,13950010
0.35,0,0.3680280519,0.3680280519,0.3680280519,0.3680280519,0.3680280519,0,0,0,0,9.308560532,48.84191001,48.84191001,14360300
0.36,0,0.3681928103,0.3681928103,0.3681928103,0.3681928103,0.3681928103,0,0,0,0,9.308560532,48.84191001,48.84191001,14770600
0.37,0,0.3683575512,0.3683575512,0.3683575512,0.3683575512,0.3683575512,0,0,0,0,9.308560532,48.84191001,48.84191001,15180890
0.38,0,0.3685222748,0.3685222748,0.3685222748,0.3685222748,0.3685222748,0,0,0,0,9.308560532,48.84191001,48.84191001,15591180
0.39,0,0.3686869813,0.3686869813,0.3686869813,0.3686869813,0.3686869813,0,0,0,0,9.308560532,48.84191001,48.84191001,16001480
0.4,0,0.368851671,0.368851671,0.368851671,0.368851671,0.368851671,0,0,0,0,9.308560532,48.84191001,48.84191001,16411770
0.41,0,0.3690163442,0.3690163442,0.3690163442,0.3690163442,0.3690163442,0,0,0,0,9.308560532,48.84191001,48.84191001,16822070
0.42,0,0.3691809817,0.3691809817,0.3691809817,0.3691809817,0.3691809817,0,0,0,0,9.308560532,48.84191001,48.84191001,17232360
0.43,0,0.369345642,0.369345642,0.369345642,0.369345642,0.369345642,0,0,0,0,9.308560532,48.84191001,48.84191001,17642660
0.44,0,0.3695102671,0.3695102671,0.3695102671,0.3695102671,0.3695102671,0,0,0,0,9.308560532,48.84191001,48.84191001,18052950
0.45,0,0.3696748767,0.3696748767,0.3696748767,0.3696748767,0.3696748767,0,0,0,0,9.308560532,48.84191001,48.84191001,18463240
0.46,0,0.3698394516,0.3698394516,0.3698394516,0.3698394516,0.3698394516,0,0,0,0,9.308560532,48.84191001,48.84191001,18873540
0.47,0,0.3700040309,0.3700040309,0.3700040309,0.3700040309,0.3700040309,0,0,0,0,9.308560532,48.84191001,48.84191001,19283830
0.48,0,0.3701685954,0.3701685954,0.3701685954,0.3701685954,0.3701685954,0,0,0,0,9.308560532,48.84191001,48.84191001,19694130
0.49,0,0.3703331453,0.3703331453,0.3703331453,0.3703331453,0.3703331453,0,0,0,0,9.308560532,48.84191001,48.84191001,20104420
0.5,0,0.370497681,0.370497681,0.370497681,0.370497681,0.370497681,0,0,0,0,9.308560532,48.84191001,48.84191001,20514710
