# Simulation 8 (Data loaded from a file)
# 1012 data points written for 20 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.619e-4,0.092,9.239,0,0,0,92.819,1.396e4,4989,4.169,0.03,NaN,99,7.723,-4.057e-6,0.507,15,1013,0.005
0.02,-3.003e-4,0.06,6.006,0,0,0,91.845,1.396e4,4989,4.169,0.03,NaN,99,52.845,-1.13e-6,0.507,15,1013,0.005
0.03,0.001,0.251,25.113,0,0,0,82.277,1.395e4,4987,4.168,0.03,NaN,99,487.057,7.767e-5,0.507,15,1013,0.005
0.04,0.009,1.288,103.705,0,0,0,55.119,1.395e4,4979,4.166,0.03,NaN,98.9,1582.825,0.007,0.491,15,1013,0.007
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.029,2.642,135.476,0,0,0,34.893,1.394e4,4969,4.162,0.03,NaN,98.9,2024.435,0.036,0.463,15,1013,0.009
0.06,0.062,4.052,141.048,0,0,0,24.236,1.393e4,4958,4.159,0.03,NaN,98.9,2100.549,0.083,0.44,15,1013,0.013
0.07,0.11,5.499,144.71,0,0,0,18.105,1.391e4,4948,4.155,0.03,NaN,98.8,2149.973,0.145,0.429,14.999,1013,0.017
0.08,0.172,6.982,148.377,0,0,0,14.267,1.39e4,4937,4.152,0.03,NaN,98.8,2199.398,0.217,0.421,14.999,1013,0.021
0.09,0.25,8.497,151.543,0,0,0,11.688,1.389e4,4926,4.148,0.03,NaN,98.7,2241.669,0.298,0.415,14.998,1013,0.025
0.1,0.342,10.038,154.198,0,0,0,9.798,1.388e4,4914,4.145,0.03,NaN,98.7,2276.786,0.392,0.411,14.998,1013,0.03
0.11,0.45,11.6,156.851,0,0,0,8.652,1.387e4,4903,4.141,0.03,NaN,98.6,2311.838,0.501,0.407,14.997,1013,0.034
0.119,0.556,12.973,159.312,0,0,0,7.85,1.386e4,4893,4.138,0.03,NaN,98.6,2344.428,0.612,0.406,14.996,1013,0.038
0.126,0.661,14.212,160.84,0,0,0,7.219,1.385e4,4884,4.135,0.03,NaN,98.6,2364.136,0.723,0.406,14.996,1013,0.042
0.133,0.765,15.35,161.725,0,0,0,6.761,1.384e4,4876,4.132,0.03,NaN,98.5,2375.067,0.833,0.406,14.995,1013,0.045
0.14,0.868,16.409,162.54,0,0,0,6.417,1.384e4,4868,4.13,0.03,NaN,98.5,2385.113,0.942,0.406,14.994,1013,0.049
0.146,0.971,17.404,163.299,0,0,0,6.073,1.383e4,4860,4.127,0.03,NaN,98.5,2394.461,1.051,0.406,14.994,1013,0.051
# Event LAUNCHROD occurred at t=0.152 seconds
0.152,1.074,18.346,164.013,0,0,0,5.844,1.382e4,4854,4.125,0.03,NaN,98.4,2403.239,1.16,0.407,14.993,1013,0.054
0.16,1.238,19.766,164.901,-8.229e-6,0,8.229e-6,5.443,1.381e4,4843,4.122,0.03,120,98.4,2413.889,1.333,0.407,14.992,1013,0.058
0.173,1.508,21.914,166.235,-5.296e-5,0,5.296e-5,4.927,1.38e4,4828,4.117,0.03,120.3,98.3,2429.863,1.619,0.407,14.99,1013,0.065
0.193,1.964,25.173,168.236,-1.982e-4,0,1.982e-4,4.297,1.377e4,4805,4.109,0.03,120.7,98.2,2453.825,2.108,0.407,14.987,1013,0.074
0.222,2.769,30.137,170.931,-5.999e-4,0,5.999e-4,3.495,1.374e4,4768,4.097,0.03,121.3,98.1,2485.181,2.976,0.407,14.982,1013,0.089
0.265,4.249,37.722,174.245,-0.002,-2.58e-8,0.002,2.636,1.368e4,4712,4.079,0.03,121.9,97.9,2522.075,4.602,0.408,14.972,1013,0.111
0.315,6.357,46.623,178.4,-0.003,-1.466e-7,0.003,1.948,1.362e4,4648,4.057,0.029,122.4,97.6,2569.274,6.978,0.409,14.959,1013,0.137
0.365,8.916,55.745,182.787,-0.004,-5.081e-7,0.004,1.375,1.355e4,4585,4.036,0.029,122.9,97.3,2619.682,9.947,0.41,14.942,1012,0.164
0.415,11.937,65.084,187.126,-0.003,-1.261e-6,0.003,1.031,1.349e4,4520,4.014,0.029,123.2,97.1,2669.323,13.57,0.412,14.922,1012,0.191
0.465,15.429,74.603,190.72,0.001,-2.463e-6,0.001,0.745,1.342e4,4452,3.991,0.029,123.5,96.8,2708.617,17.871,0.413,14.9,1011,0.219
0.515,19.401,84.284,193.953,0.011,-4.074e-6,0.011,0.401,1.335e4,4385,3.967,0.029,123.8,96.5,2743.216,22.885,0.415,14.874,1011,0.248
0.565,23.86,94.077,196.206,0.031,-5.854e-6,0.031,0.057,1.328e4,4316,3.944,0.029,124.1,96.2,2764.925,28.648,0.418,14.845,1010,0.277
0.615,28.811,103.969,198.192,0.062,-6.795e-6,0.062,0.286,1.321e4,4247,3.919,0.029,123.9,95.9,2783.52,35.202,0.42,14.813,1010,0.306
0.665,34.259,113.956,200.073,0.111,-5.343e-6,0.111,0.573,1.315e4,4178,3.895,0.029,123.7,95.6,2801.163,42.598,0.423,14.777,1009,0.335
0.715,40.208,124.029,201.83,0.18,-5.107e-7,0.18,0.688,1.307e4,4108,3.87,0.029,123.6,95.3,2817.75,50.855,0.427,14.739,1009,0.365
0.765,46.661,134.143,202.607,0.273,8.483e-6,0.273,0.688,1.301e4,4039,3.844,0.029,123.7,95,2822.148,59.951,0.43,14.697,1008,0.394
0.815,53.621,144.278,202.966,0.39,2.182e-5,0.39,0.516,1.294e4,3969,3.819,0.029,123.9,94.6,2821.952,69.908,0.434,14.651,1007,0.424
0.865,61.087,154.42,203.048,0.53,3.825e-5,0.53,0.172,1.287e4,3899,3.793,0.029,124.2,94.3,2819.113,80.778,0.439,14.603,1006,0.454
0.915,69.06,164.564,202.989,0.688,5.631e-5,0.688,0.172,1.28e4,3829,3.767,0.028,124.3,94,2815.443,92.659,0.444,14.551,1005,0.484
0.965,77.54,174.703,202.85,0.861,7.772e-5,0.861,0.401,1.273e4,3760,3.74,0.028,124.1,93.7,2811.773,105.596,0.449,14.496,1004,0.514
1.015,86.526,184.831,202.596,1.044,1.07e-4,1.044,0.401,1.266e4,3690,3.714,0.028,124.2,93.3,2807.741,119.569,0.454,14.438,1003,0.544
1.059,94.722,193.577,201.828,1.21,1.412e-4,1.21,0.286,1.26e4,3631,3.691,0.028,124.4,93,2798.332,132.495,0.459,14.384,1002,0.569
1.109,104.65,203.62,200.786,1.412,1.922e-4,1.412,0.025,1.253e4,3562,3.664,0.028,124.7,92.7,2786.684,148.475,0.466,14.32,1001,0.599
1.159,115.079,213.603,199.573,1.629,2.535e-4,1.629,0.229,1.246e4,3493,3.636,0.028,124.7,92.4,2774.203,165.696,0.473,14.252,999.8,0.628
1.208,125.924,223.449,198.23,1.866,3.205e-4,1.866,0.286,1.239e4,3425,3.609,0.028,124.8,92,2761.596,184.007,0.48,14.181,998.5,0.658
1.25,135.364,231.608,196.464,2.079,3.808e-4,2.079,0.115,1.234e4,3369,3.587,0.028,125,91.8,2744.523,200.249,0.487,14.12,997.4,0.682
1.3,147.185,241.336,194.235,2.354,4.584e-4,2.354,0.057,1.227e4,3302,3.56,0.028,125.2,91.4,2724.173,221.059,0.496,14.043,996,0.71
1.35,159.488,250.94,191.712,2.641,5.488e-4,2.641,0.172,1.22e4,3235,3.532,0.028,125.3,91.1,2701.932,243.325,0.505,13.963,994.5,0.739
1.397,171.624,259.946,189.12,2.924,6.525e-4,2.924,0.115,1.214e4,3171,3.506,0.028,125.5,90.7,2680.242,265.948,0.515,13.884,993.1,0.765
1.447,184.85,269.233,185.182,3.233,7.659e-4,3.233,0.038,1.207e4,3106,3.478,0.028,125.8,90.4,2645.173,291.329,0.527,13.798,991.6,0.793
1.497,198.533,278.251,179.747,3.557,8.653e-4,3.557,0.115,1.201e4,3041,3.451,0.028,125.9,90.1,2594.31,318.409,0.54,13.71,990,0.819
1.546,212.261,286.697,173.059,3.889,9.545e-4,3.889,0.055,1.195e4,2981,3.425,0.027,126.1,89.7,2531.05,346.407,0.554,13.62,988.4,0.845
1.596,226.799,294.971,164.597,4.246,0.001,4.246,0.049,1.189e4,2920,3.399,0.027,126.3,89.4,2449.907,377.063,0.57,13.526,986.7,0.869
1.646,241.738,302.754,154.646,4.614,0.001,4.614,0.057,1.183e4,2862,3.374,0.027,126.4,89.1,2355.012,409.945,0.59,13.429,984.9,0.892
1.696,257.051,309.959,143.608,4.992,0.001,4.992,0.025,1.177e4,2807,3.349,0.027,126.6,88.8,2239.957,433.956,0.596,13.329,983.1,0.913
1.746,272.708,316.518,130.782,5.383,0.001,5.383,0.057,1.172e4,2754,3.326,0.027,126.7,88.5,2098.335,450.753,0.595,13.227,981.3,0.933
1.794,288.14,321.746,107.884,5.772,0.002,5.772,0.012,1.168e4,2710,3.306,0.027,126.9,88.2,1838.374,464.251,0.594,13.127,979.5,0.949
1.844,304.273,323.75,39.7,6.181,0.002,6.181,0.048,1.165e4,2684,3.295,0.027,126.9,88.1,1045.552,468.947,0.593,13.022,977.6,0.955
1.894,320.423,322.462,25.577,6.589,0.002,6.589,0.008,1.164e4,2677,3.291,0.027,126.9,88.1,280.882,464.71,0.594,12.917,975.7,0.951
# Event BURNOUT occurred at t=1.923 seconds
# Event EJECTION_CHARGE occurred at t=1.923 seconds
1.923,329.651,321.154,45.447,6.821,0.002,6.821,0.019,1.164e4,2676,3.291,0.027,126.9,88,45.592,460.733,0.594,12.857,974.6,0.947
1.966,343.419,319.042,48.825,7.169,0.002,7.169,0.057,1.164e4,2676,3.291,0.027,126.8,88,0,454.405,0.594,12.768,973,0.941
2.016,359.305,316.616,48.196,7.571,0.002,7.571,0.003,1.164e4,2676,3.291,0.027,126.8,88,0,447.181,0.595,12.665,971.1,0.934
2.066,375.07,314.222,47.591,7.971,0.002,7.971,0.046,1.164e4,2676,3.291,0.027,126.7,88,0,440.133,0.595,12.562,969.3,0.927
2.116,390.717,311.857,46.997,8.366,0.002,8.366,0.015,1.164e4,2676,3.291,0.027,126.7,88,0,433.228,0.596,12.46,967.4,0.921
2.166,406.247,309.522,46.423,8.758,0.003,8.758,0.045,1.164e4,2676,3.291,0.027,126.6,88,0,426.478,0.596,12.359,965.6,0.914
2.216,421.66,307.215,45.853,9.148,0.003,9.148,0.035,1.164e4,2676,3.291,0.027,126.6,88,0,419.855,0.597,12.259,963.8,0.907
2.266,436.959,304.936,45.292,9.536,0.003,9.536,0.023,1.164e4,2676,3.291,0.027,126.5,88,0,413.374,0.597,12.16,962,0.901
2.316,452.145,302.694,44.373,9.92,0.003,9.92,0.034,1.164e4,2676,3.291,0.027,126.5,88,0,402.677,0.591,12.061,960.2,0.894
2.366,467.219,300.498,43.488,10.301,0.003,10.301,0.004,1.164e4,2676,3.291,0.027,126.4,88,0,392.363,0.586,11.963,958.5,0.888
2.416,482.185,298.345,42.658,10.679,0.003,10.679,0.022,1.164e4,2676,3.291,0.027,126.4,88,0,382.672,0.58,11.866,956.7,0.882
2.466,497.045,296.232,41.87,11.055,0.003,11.055,0.013,1.164e4,2676,3.291,0.027,126.3,88,0,373.516,0.575,11.769,955,0.875
2.516,511.8,294.157,41.125,11.429,0.004,11.429,0.008,1.164e4,2676,3.291,0.027,126.3,88,0,364.858,0.571,11.673,953.3,0.869
2.566,526.452,292.119,40.418,11.8,0.004,11.8,0.015,1.164e4,2676,3.291,0.027,126.3,88,0,356.629,0.567,11.578,951.7,0.864
2.616,541.003,290.115,39.745,12.168,0.004,12.168,0.014,1.164e4,2676,3.291,0.027,126.2,88,0,348.795,0.563,11.483,950,0.858
2.666,555.455,288.143,39.104,12.534,0.004,12.534,0.001,1.164e4,2676,3.291,0.027,126.2,88,0,341.319,0.559,11.39,948.4,0.852
2.716,569.809,286.204,38.49,12.897,0.004,12.897,0.023,1.164e4,2676,3.291,0.027,126.1,88,0,334.152,0.555,11.296,946.8,0.847
2.766,584.066,284.294,37.898,13.258,0.004,13.258,0.018,1.164e4,2676,3.291,0.027,126.1,88,0,327.271,0.552,11.204,945.2,0.841
2.816,598.229,282.414,37.329,13.617,0.004,13.617,0.018,1.164e4,2676,3.291,0.027,126.1,88,0,320.665,0.549,11.112,943.6,0.836
2.866,612.299,280.561,36.783,13.974,0.005,13.974,0.028,1.164e4,2676,3.291,0.027,126,88,0,314.314,0.546,11.02,942.1,0.83
2.916,626.277,278.735,36.258,14.328,0.005,14.328,0.015,1.164e4,2676,3.291,0.027,126,88,0,308.18,0.543,10.929,940.5,0.825
2.966,640.164,276.935,35.752,14.679,0.005,14.679,0.038,1.164e4,2676,3.291,0.027,125.9,88,0,302.26,0.54,10.839,938.9,0.82
3.016,653.962,275.16,35.258,15.03,0.005,15.03,0.005,1.164e4,2676,3.291,0.027,125.9,88,0,296.551,0.537,10.749,937.4,0.815
3.066,667.671,273.409,34.784,15.378,0.005,15.378,0.039,1.164e4,2676,3.291,0.027,125.9,88,0,291.037,0.535,10.66,935.9,0.81
3.116,681.294,271.681,34.325,15.724,0.005,15.724,0.013,1.164e4,2676,3.291,0.027,125.9,88,0,285.69,0.532,10.572,934.4,0.805
3.166,694.831,269.976,33.883,16.067,0.005,16.067,0.031,1.164e4,2676,3.291,0.027,125.8,88,0,280.513,0.53,10.484,932.8,0.8
3.216,708.284,268.293,33.454,16.408,0.006,16.408,0.046,1.164e4,2676,3.291,0.027,125.8,88,0,275.487,0.528,10.396,931.3,0.795
3.266,721.652,266.631,33.03,16.749,0.006,16.749,0.003,1.164e4,2676,3.291,0.027,125.8,88,0,270.612,0.526,10.309,929.8,0.79
3.316,734.938,264.989,32.624,17.087,0.006,17.087,0.057,1.164e4,2676,3.291,0.027,125.7,88,0,265.893,0.524,10.223,928.4,0.785
3.366,748.143,263.368,32.229,17.423,0.006,17.423,0.027,1.164e4,2676,3.291,0.027,125.7,88,0,261.298,0.522,10.137,926.9,0.781
3.416,761.267,261.766,31.849,17.756,0.006,17.756,0.03,1.164e4,2676,3.291,0.027,125.7,88,0,256.832,0.52,10.052,925.4,0.776
3.466,774.311,260.183,31.477,18.088,0.006,18.088,0.033,1.164e4,2676,3.291,0.027,125.6,88,0,252.499,0.518,9.967,924,0.771
3.516,787.277,258.619,31.112,18.418,0.006,18.418,0.005,1.164e4,2676,3.291,0.027,125.6,88,0,248.278,0.516,9.883,922.5,0.767
3.566,800.165,257.072,30.758,18.747,0.006,18.747,0.018,1.164e4,2676,3.291,0.027,125.6,88,0,244.165,0.514,9.799,921.1,0.762
3.616,812.976,255.543,30.414,19.074,0.007,19.074,0.023,1.164e4,2676,3.291,0.027,125.6,88,0,240.16,0.512,9.716,919.6,0.758
3.666,825.711,254.03,30.079,19.399,0.007,19.399,0.01,1.164e4,2676,3.291,0.027,125.5,88,0,236.261,0.511,9.633,918.2,0.754
3.716,838.371,252.535,29.754,19.722,0.007,19.722,0.016,1.164e4,2676,3.291,0.027,125.5,88,0,232.458,0.509,9.551,916.8,0.749
3.766,850.957,251.055,29.435,20.043,0.007,20.043,0.008,1.164e4,2676,3.291,0.027,125.5,88,0,228.752,0.508,9.469,915.4,0.745
3.816,863.469,249.591,29.124,20.363,0.007,20.363,0.003,1.164e4,2676,3.291,0.027,125.5,88,0,225.139,0.506,9.387,914,0.741
3.866,875.908,248.142,28.821,20.681,0.007,20.681,0.009,1.164e4,2676,3.291,0.027,125.4,88,0,221.599,0.505,9.307,912.6,0.737
3.916,888.275,246.709,28.524,20.998,0.007,20.998,0.009,1.164e4,2676,3.291,0.027,125.4,88,0,218.153,0.503,9.226,911.2,0.732
3.966,900.571,245.29,28.234,21.313,0.008,21.313,0.012,1.164e4,2676,3.291,0.027,125.4,88,0,214.786,0.502,9.146,909.9,0.728
4.016,912.796,243.885,27.952,21.626,0.008,21.626,0.007,1.164e4,2676,3.291,0.027,125.4,88,0,211.49,0.5,9.067,908.5,0.724
4.066,924.952,242.495,27.676,21.938,0.008,21.938,0.009,1.164e4,2676,3.291,0.027,125.3,88,0,208.273,0.499,8.988,907.1,0.72
4.116,937.038,241.118,27.405,22.249,0.008,22.249,0.003,1.164e4,2676,3.291,0.027,125.3,88,0,205.128,0.498,8.909,905.8,0.716
4.166,949.056,239.754,27.141,22.557,0.008,22.557,0.003,1.164e4,2676,3.291,0.027,125.3,88,0,202.047,0.496,8.831,904.4,0.712
4.216,961.006,238.403,26.882,22.865,0.008,22.865,0.001,1.164e4,2676,3.291,0.027,125.3,88,0,199.035,0.495,8.753,903.1,0.708
4.266,972.888,237.066,26.629,23.17,0.008,23.17,0.003,1.164e4,2676,3.291,0.027,125.3,88,0,196.084,0.494,8.676,901.8,0.705
4.316,984.705,235.74,26.38,23.475,0.008,23.475,0.006,1.164e4,2676,3.291,0.027,125.2,88,0,193.2,0.493,8.599,900.5,0.701
4.366,996.455,234.428,26.137,23.778,0.009,23.778,0.016,1.164e4,2676,3.291,0.027,125.2,88,0,190.378,0.492,8.523,899.1,0.697
4.416,1008.14,233.127,25.901,24.079,0.009,24.079,0.005,1.164e4,2676,3.291,0.027,125.2,88,0,187.621,0.49,8.447,897.9,0.693
4.466,1019.76,231.837,25.67,24.379,0.009,24.379,0.008,1.164e4,2676,3.291,0.027,125.2,88,0,184.925,0.489,8.372,896.6,0.689
4.516,1031.316,230.56,25.444,24.677,0.009,24.677,0.012,1.164e4,2676,3.291,0.027,125.1,88,0,182.283,0.488,8.296,895.4,0.686
4.566,1042.808,229.293,25.22,24.974,0.009,24.974,0.003,1.164e4,2676,3.291,0.027,125.1,88,0,179.696,0.487,8.222,894.2,0.682
4.616,1054.238,228.037,25.002,25.27,0.009,25.27,0.01,1.164e4,2676,3.291,0.027,125.1,88,0,177.16,0.486,8.147,893,0.678
4.666,1065.605,226.793,24.789,25.564,0.009,25.564,0.005,1.164e4,2676,3.291,0.027,125.1,88,0,174.667,0.485,8.074,891.8,0.675
4.716,1076.91,225.559,24.579,25.857,0.009,25.857,0.011,1.164e4,2676,3.291,0.027,125.1,88,0,172.224,0.484,8,890.6,0.671
4.766,1088.153,224.335,24.373,26.148,0.01,26.148,0.002,1.164e4,2676,3.291,0.027,125.1,88,0,169.831,0.483,7.927,889.4,0.668
4.816,1099.336,223.121,24.171,26.439,0.01,26.439,0.009,1.164e4,2676,3.291,0.027,125,88,0,167.481,0.482,7.854,888.2,0.664
4.866,1110.458,221.918,23.972,26.728,0.01,26.728,0.019,1.164e4,2676,3.291,0.027,125,88,0,165.178,0.481,7.782,887,0.661
4.916,1121.52,220.724,23.779,27.015,0.01,27.015,0.009,1.164e4,2676,3.291,0.027,125,88,0,162.918,0.48,7.71,885.8,0.657
4.966,1132.523,219.54,23.59,27.301,0.01,27.301,0.025,1.164e4,2676,3.291,0.027,125,88,0,160.693,0.479,7.639,884.6,0.654
5.016,1143.467,218.365,23.402,27.586,0.01,27.586,0.02,1.164e4,2676,3.291,0.027,125,88,0,158.514,0.478,7.567,883.5,0.65
5.066,1154.352,217.2,23.217,27.869,0.01,27.869,0.009,1.164e4,2676,3.291,0.027,125,88,0,156.372,0.478,7.497,882.3,0.647
5.116,1165.18,216.043,23.036,28.152,0.01,28.152,0.002,1.164e4,2676,3.291,0.027,124.9,88,0,154.265,0.477,7.426,881.2,0.644
5.166,1175.949,214.896,22.857,28.433,0.011,28.433,0.017,1.164e4,2676,3.291,0.027,124.9,88,0,152.199,0.476,7.356,880,0.64
5.216,1186.662,213.757,22.683,28.713,0.011,28.713,0.003,1.164e4,2676,3.291,0.027,124.9,88,0,150.163,0.475,7.287,878.9,0.637
5.266,1197.318,212.628,22.512,28.992,0.011,28.992,0.004,1.164e4,2676,3.291,0.027,124.9,88,0,148.167,0.474,7.217,877.8,0.634
5.316,1207.918,211.506,22.344,29.269,0.011,29.269,0.012,1.164e4,2676,3.291,0.027,124.9,88,0,146.202,0.473,7.149,876.6,0.63
5.366,1218.462,210.393,22.177,29.546,0.011,29.546,0.007,1.164e4,2676,3.291,0.027,124.9,88,0,144.276,0.473,7.08,875.5,0.627
5.416,1228.95,209.288,22.014,29.821,0.011,29.821,0.026,1.164e4,2676,3.291,0.027,124.8,88,0,142.385,0.472,7.012,874.4,0.624
