Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.7003688872,0.7003688872,0.7003688872,0.7003688872,0.7003688872,0,0,0,0,13.66183786,81.86561958,80.59104805,588027.1
0.01,2,0.7003688872,0.7169812494,0.7169812494,0.7012229591,0.7012229591,0.4390184988,0.4637733454,0.4506265385,0.01314680688,13.66183786,81.20951273,80.59104805,588027.1
0.01,4,0.7003688872,0.7686111849,0.7686111849,0.7037935223,0.7037935223,0.9023587492,0.9537762546,0.901253077,0.0525231776,13.66183786,80.59104704,80.59104805,588027.1
0.02,0,0.6788827569,0.6788827569,0.6788827569,0.6788827569,0.6788827569,0,0,0,0,13.66183786,81.86561958,80.59104805,1176054
0.02,2,0.6788827569,0.6954820223,0.6954820223,0.6797106273,0.6797106273,0.4397692684,0.4637733454,0.4506265385,0.01314680688,13.66183786,81.20951273,80.59104805,1176054
0.02,4,0.6788827569,0.7470725876,0.7470725876,0.6822023299,0.6822023299,0.9038648747,0.9537762546,0.901253077,0.0525231776,13.66183786,80.59104704,80.59104805,1176054
0.03,0,0.6683479925,0.6683479925,0.6683479925,0.6683479925,0.6683479925,0,0,0,0,13.66183786,81.86561958,80.59104805,1764081
0.03,2,0.6683479925,0.6849408365,0.6849408365,0.6691630162,0.6691630162,0.4401373747,0.4637733454,0.4506265385,0.01314680688,13.66183786,81.20951273,80.59104805,1764081
0.03,4,0.6683479925,0.7365120984,0.7365120984,0.6716160531,0.6716160531,0.904603336,0.9537762546,0.901253077,0.0525231776,13.66183786,80.59104704,80.59104805,1764081
0.04,0,0.6616569242,0.6616569242,0.6616569242,0.6616569242,0.6616569242,0,0,0,0,13.66183786,81.86561958,80.59104805,2352108
0.04,2,0.6616569242,0.6782456898,0.6782456898,0.6624637885,0.6624637885,0.4403711744,0.4637733454,0.4506265385,0.01314680688,13.66183786,81.20951273,80.59104805,2352108
0.04,4,0.6616569242,0.7298046913,0.7298046913,0.6648922672,0.6648922672,0.9050723636,0.9537762546,0.901253077,0.0525231776,13.66183786,80.59104704,80.59104805,2352108
0.05,0,0.6568738953,0.6568738953,0.6568738953,0.6568738953,0.6568738953,0,0,0,0,13.66183786,81.86561958,80.59104805,2940136
