# Simulation 2 (Up to date)
# 1216 data points written for 20 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (36.1 m/s):  "Main Parachute"
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.889e-5,0.01,0.976,0,0,0,90.126,3.326e4,1.199e4,11.616,0.199,NaN,166.4,293.152,0,0.359,11.038,942.4,0.015
0.02,8.327e-4,0.167,16.659,0,0,0,88.064,3.325e4,1.198e4,11.614,0.199,NaN,166.4,879.455,1.566e-5,0.359,11.038,942.4,0.014
0.03,0.004,0.51,34.303,0,0,0,83.996,3.324e4,1.197e4,11.612,0.199,NaN,166.4,1465.759,4.339e-4,0.359,11.038,942.4,0.014
0.04,0.012,1.029,51.957,0,0,0,77.865,3.323e4,1.196e4,11.611,0.199,NaN,166.4,2052.062,0.003,0.359,11.038,942.4,0.015
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.026,1.701,67.237,0,0,0,70.245,3.322e4,1.195e4,11.608,0.199,NaN,166.4,2558.862,0.014,0.358,11.037,942.4,0.015
0.06,0.046,2.383,68.173,0,0,0,63.426,3.32e4,1.193e4,11.605,0.199,NaN,166.4,2588.641,0.034,0.355,11.037,942.4,0.016
0.07,0.073,3.055,67.208,0,0,0,57.41,3.319e4,1.191e4,11.601,0.199,NaN,166.3,2555.291,0.065,0.352,11.037,942.4,0.017
0.08,0.107,3.795,74.034,0,0,0,51.681,3.317e4,1.19e4,11.598,0.199,NaN,166.3,2780.315,0.112,0.349,11.037,942.4,0.018
0.09,0.149,4.604,80.986,0,0,0,46.295,3.315e4,1.188e4,11.594,0.199,NaN,166.3,3009.275,0.177,0.345,11.037,942.3,0.02
0.1,0.199,5.378,77.369,0,0,0,41.998,3.313e4,1.186e4,11.59,0.199,NaN,166.3,2887.884,0.251,0.342,11.036,942.3,0.021
0.11,0.257,6.104,72.605,0,0,0,38.56,3.311e4,1.184e4,11.587,0.199,NaN,166.3,2728.617,0.332,0.339,11.036,942.3,0.023
0.12,0.321,6.782,67.835,0,0,0,35.81,3.309e4,1.182e4,11.583,0.199,NaN,166.3,2569.35,0.415,0.336,11.036,942.3,0.025
0.13,0.392,7.422,64.032,0,0,0,33.518,3.308e4,1.181e4,11.58,0.199,NaN,166.2,2442.3,0.501,0.334,11.035,942.3,0.026
0.14,0.47,8.064,64.229,0,0,0,31.513,3.306e4,1.179e4,11.577,0.199,NaN,166.2,2447.701,0.593,0.331,11.035,942.3,0.028
0.15,0.553,8.712,64.86,0,0,0,29.737,3.304e4,1.177e4,11.573,0.199,NaN,166.2,2467.422,0.691,0.329,11.034,942.3,0.03
0.16,0.644,9.367,65.491,0,0,0,27.96,3.303e4,1.176e4,11.57,0.199,NaN,166.2,2487.142,0.797,0.327,11.033,942.3,0.031
0.17,0.741,10.028,66.123,0,0,0,26.356,3.301e4,1.174e4,11.567,0.199,NaN,166.2,2506.862,0.909,0.325,11.033,942.3,0.033
0.18,0.844,10.696,66.755,0,0,0,24.866,3.299e4,1.172e4,11.563,0.199,NaN,166.2,2526.583,1.028,0.323,11.032,942.3,0.035
0.19,0.955,11.369,67.368,0,0,0,23.549,3.298e4,1.171e4,11.56,0.199,NaN,166.1,2545.641,1.152,0.321,11.031,942.3,0.037
0.2,1.072,12.047,67.796,0,0,0,22.345,3.296e4,1.169e4,11.557,0.199,NaN,166.1,2558.571,1.285,0.32,11.031,942.2,0.039
0.21,1.196,12.729,68.179,0,0,0,21.429,3.294e4,1.167e4,11.553,0.199,NaN,166.1,2570.011,1.429,0.32,11.03,942.2,0.04
