# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​),Dynamic Pressure (mbar)
0,0,0,0,0,0,0,90,3.647e4,1.355e4,15.727,0.307,NaN,209.118,0,0.463,15,1013.25,0.007,0
0.01,0,0.01,6.289,0,0,0,89.727,3.646e4,1.354e4,15.726,0.307,NaN,209.115,1.208e-8,0.464,15,1013.25,0.006,6.731e-7
0.02,6.874e-4,0.154,22.378,-8.845e-7,0,8.845e-7,85.972,3.645e4,1.353e4,15.725,0.307,NaN,209.111,3.7e-5,0.464,15,1013.25,0.006,1.449e-4
0.03,0.004,0.458,38.475,-3.09e-6,0,3.09e-6,78.071,3.644e4,1.352e4,15.724,0.307,NaN,209.108,8.997e-4,0.463,15,1013.25,0.007,0.001
0.04,0.01,0.923,54.579,-6.646e-6,0,6.646e-6,66.777,3.643e4,1.351e4,15.723,0.307,NaN,209.105,0.006,0.46,15,1013.249,0.007,0.005
0.045,0.016,1.216,62.634,-8.966e-6,0,8.966e-6,60.429,3.643e4,1.351e4,15.723,0.307,NaN,209.103,0.013,0.457,15,1013.248,0.007,0.009
0.052,0.027,1.682,61.635,-1.321e-5,0,1.321e-5,51.74,3.642e4,1.349e4,15.721,0.307,NaN,209.098,0.03,0.451,15,1013.247,0.008,0.017
0.062,0.046,2.292,60.301,-1.953e-5,0,1.953e-5,42.826,3.64e4,1.348e4,15.719,0.307,NaN,209.092,0.062,0.443,15,1013.245,0.009,0.032
0.067,0.057,2.562,59.701,-2.238e-5,0,2.238e-5,39.612,3.639e4,1.347e4,15.719,0.307,NaN,209.089,0.08,0.44,15,1013.243,0.01,0.04
0.074,0.076,2.985,65.554,-2.664e-5,0,2.664e-5,35.313,3.638e4,1.346e4,15.717,0.307,NaN,209.085,0.111,0.435,15,1013.241,0.011,0.055
0.084,0.11,3.702,74.448,-3.312e-5,0,3.312e-5,29.625,3.636e4,1.344e4,15.715,0.307,NaN,209.078,0.172,0.427,14.999,1013.237,0.013,0.084
0.094,0.151,4.425,70.106,-3.945e-5,0,3.945e-5,25.35,3.634e4,1.342e4,15.713,0.307,NaN,209.071,0.243,0.42,14.999,1013.232,0.014,0.12
0.104,0.199,5.104,65.759,-4.577e-5,0,4.577e-5,22.36,3.632e4,1.34e4,15.711,0.307,NaN,209.064,0.317,0.415,14.999,1013.227,0.016,0.16
0.114,0.253,5.74,61.408,-5.209e-5,0,5.209e-5,20.283,3.63e4,1.338e4,15.709,0.307,NaN,209.057,0.392,0.41,14.998,1013.22,0.018,0.202
