pressure,wind_east,wind_north
1000.000000,-0.277374,-1.717133
975.000000,-0.246597,-1.795853
950.000000,-0.246902,-1.746277
925.000000,-0.271088,-1.663773
900.000000,-1.329971,-2.004242
875.000000,-1.611526,-1.495453
850.000000,-2.470062,0.617004
825.000000,-4.213959,2.242172
800.000000,-3.356781,3.192902
775.000000,-0.836670,3.122513
750.000000,1.995941,0.396622
700.000000,6.005035,-7.275589
650.000000,5.034790,-9.555832
600.000000,4.111618,-11.005341
550.000000,4.987244,-12.287949
500.000000,7.430573,-11.289612
450.000000,10.188232,-12.665054
400.000000,14.827362,-15.829773
350.000000,19.940750,-18.167419
300.000000,21.255249,-18.525162
250.000000,22.788391,-19.892166
200.000000,29.589569,-15.970215
175.000000,29.907761,-11.761108
150.000000,27.285416,-4.217911
125.000000,24.952316,-3.255066
100.000000,18.225204,-5.155441
70.000000,13.174622,-7.182190
50.000000,8.071289,-6.971985
30.000000,-0.302170,-2.273514
20.000000,-1.104111,-3.368912
10.000000,0.536469,1.597382
7.000000,-1.511520,4.029800
5.000000,1.601761,8.221741
3.000000,14.574509,9.732498
2.000000,25.701324,13.210083
1.000000,56.530090,11.750244
